Number of Applications,Number of Modules,Group Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Account Management Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Agile Academy edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,AP-CIS,APCISWeb,com.ibm.support.operations.ap.cis.eas.web,WOW_WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Asset and Activity Automator,IIC_Events,knowledgecenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,B2B Punchout Gateway,ibm_b2b Punchout Gateway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Bluepages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,BlueThx,bluethx,IBM Social Business Toolkit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,BP ADM,bpadm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,BPLOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,BPLOA Web,BPLOA Web,BPLOA_WEB_DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,CISO STT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Client Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,CloudPlatform (BSS),Manage,bssapiproxy,manage.fake.spi,navigation,sanity.servlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Cognitive Supply Chain,Archetype Created Web Application,alertsexlorerservice,CognitiveDashboardServices,CognitiveServices_Feedback,QARestService,UBFServices,Op Center Web Application,DashboardServices,ResolutionRoomsNOC,Default Web Application,testWebSphereVariable,ConversationScheduledJob,AlertsExplorer,24 Hours Dashboard Web Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Cognitive supply chain view,alertsexlorerservice,CognitiveDashboardServices,CognitiveServices_Feedback,QARestService,UBFServices,DashboardServices,ResolutionRoomsNOC,Default Web Application,testWebSphereVariable,ConversationScheduledJob,AlertsExplorer,24 Hours Dashboard Web Application,Archetype Created Web Application,Op Center Web Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Contracts Online,support/operations/contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Contracts Online Admin,support/operations/contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Curam SPM,CuramClient,CuramBIRTViewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Customer Fulfillment Services and Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,CustomPac new service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Customs Declaration Engine,Customs Declaration Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Decision Composer,DecisionComposerApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Decision Composer Admin,DecisionComposerApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Decision Composer View,DecisionComposerApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,DeveloperWorks,spamWeb,View Web Application,dwwiWeb,Profiles,OWASP CSRFGuard Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Digital Marketplace Checkout (SCW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,DSW,eOrder Passport,eOrder TLS,BPeOrdering,DSWTReXServiceAppTestWAR,eOrder PAED,DSWTReXServiceAppWAR,SaaSeCommerceWAR,eOrder SharedInfoApp,SaaSeCommerceStartSessionService,SaaSeCommServiceTestWAR,eOrderRestfulServiceWAR,eOrderCAModifyServiceWAR,eOrderManagePaymentWAR,eOrder Partnerworld Redirect,eOrder PWD,sbaWeb,SPBRuleEngine,quoteWeb,eOrderDummySQO,SaaSeCommerceOrderInformationService,,,,,,,,,,,,,,,,,,,,,,,,,
,3,ERS Luks Whole Disk Encryption,Keyservice Portal Web Application,ibm/help,Keyservice Portal Web Application Gstvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,eSPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,FastPass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,financing_tools_icfs_web - Edit,financing_tools_icfs-web,Sheet_ICFS_WEB_LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,financing_tools_icfs_web - View,financing_tools_icfs-web,Sheet_ICFS_WEB_LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
